class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
ENG 316-01,3,Tu,4:00pm - 6:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1130}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Martin Nakell,76,spring2026,"['Spring', 'Fall']",Writing Poetry
ENG 318-01,3,MWF,12:00pm - 12:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 720, 'endTime': 770}], 'Tu': [], 'W': [{'startTime': 720, 'endTime': 770}], 'Th': [], 'F': [{'startTime': 720, 'endTime': 770}], 'Sa': [], 'Su': []}}",Mildred Lewis,69,spring2026,['Spring'],Intermediate Screenwriting
ENG 319-01,3,W,7:00pm - 9:50pm,Leatherby Libraries Lab B17,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 1140, 'endTime': 1310}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Gerald Hicks,91,spring2026,"['Spring', 'Fall']",Digital Magazine Workshop for Journalists
ENG 321C-01,3,TuTh,1:00pm - 2:15pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 855}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 855}], 'F': [], 'Sa': [], 'Su': []}}",Renee Hudson,53,spring2026,['Spring'],Speculative Fictions of Race
ENG 328-01,3,TuTh,11:30am - 12:45pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Morgan Read-Davidson,86,spring2026,"['Spring', 'Fall']",Writing for Video Games
ENG 344E-02,3,MW,5:30pm - 6:45pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1050, 'endTime': 1125}], 'Tu': [], 'W': [{'startTime': 1050, 'endTime': 1125}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Samantha Dressel,51,spring2026,['Spring'],Beyond Shakespeare: Renaissance Drama
ENG 345A-01,3,TuTh,1:00pm - 2:15pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 855}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 855}], 'F': [], 'Sa': [], 'Su': []}}",Richard Ruppel,62,spring2026,['Spring'],Gender in Victorian England
ENG 346A-01,3,TuTh,2:30pm - 3:45pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 870, 'endTime': 945}], 'W': [], 'Th': [{'startTime': 870, 'endTime': 945}], 'F': [], 'Sa': [], 'Su': []}}",Rei Magosaki,67,spring2026,['Spring'],The Graphic Novel
ENG 351-01,3,MW,4:00pm - 5:15pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1035}], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1035}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Mildred Lewis,69,spring2026,"['Spring', 'Fall']",Writing the Graphic Novel
ENG 103-18,3,MWF,11:00am - 11:50am,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 660, 'endTime': 710}], 'Tu': [], 'W': [{'startTime': 660, 'endTime': 710}], 'Th': [], 'F': [{'startTime': 660, 'endTime': 710}], 'Sa': [], 'Su': []}}",Erin Whittinghill,94,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-19,3,MWF,12:00pm - 12:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 720, 'endTime': 770}], 'Tu': [], 'W': [{'startTime': 720, 'endTime': 770}], 'Th': [], 'F': [{'startTime': 720, 'endTime': 770}], 'Sa': [], 'Su': []}}",Erin Whittinghill,94,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-21,3,TuTh,8:30am - 9:45am,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 510, 'endTime': 585}], 'W': [], 'Th': [{'startTime': 510, 'endTime': 585}], 'F': [], 'Sa': [], 'Su': []}}",Matt Goldman,83,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-02,3,MWF,11:00am - 11:50am,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 660, 'endTime': 710}], 'Tu': [], 'W': [{'startTime': 660, 'endTime': 710}], 'Th': [], 'F': [{'startTime': 660, 'endTime': 710}], 'Sa': [], 'Su': []}}",Brian Glaser,82,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-12,3,TuTh,11:30am - 12:45pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Jaime Campbell,64,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-13,3,Th,4:00pm - 6:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1130}], 'F': [], 'Sa': [], 'Su': []}}",Jaime Campbell,64,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
ENG 103-22,3,TuTh,8:30am - 9:45am,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 510, 'endTime': 585}], 'W': [], 'Th': [{'startTime': 510, 'endTime': 585}], 'F': [], 'Sa': [], 'Su': []}}",Jayne Munoz,49,spring2026,"['Spring', 'Fall']",Seminar in Rhetoric and Composition
