class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
GAME 230-01,3,TuTh,4:00pm - 5:15pm,KC N214 Swenson Hall Sig&Cyber,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Brandon Makin,,spring2026,"['Spring', 'Fall']",Introduction to Game Programming
GAME 242-01,3,W,7:00pm - 9:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 1140, 'endTime': 1310}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Jonathan Humphreys,70,spring2026,"['Spring', 'Fall']",Introduction to the Game Industry
GAME 244-01,3,MWF,8:00am - 8:50am,Keck Center 153 Circuit Design,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 480, 'endTime': 530}], 'Tu': [], 'W': [{'startTime': 480, 'endTime': 530}], 'Th': [], 'F': [{'startTime': 480, 'endTime': 530}], 'Sa': [], 'Su': []}}",Derek Prate,84,spring2026,"['Spring', 'Fall']",Level Design I
GAME 246-01,3,MWF,10:00am - 10:50am,Keck Center 153 Circuit Design,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 600, 'endTime': 650}], 'Tu': [], 'W': [{'startTime': 600, 'endTime': 650}], 'Th': [], 'F': [{'startTime': 600, 'endTime': 650}], 'Sa': [], 'Su': []}}",Derek Prate,84,spring2026,['Spring'],The Unreal Game Engine
GAME 339-01,3,MW,8:30pm - 9:45pm,Keck Center 153 Circuit Design,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1230, 'endTime': 1305}], 'Tu': [], 'W': [{'startTime': 1230, 'endTime': 1305}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Thomas Dupont,,spring2026,['Fall'],Game Planning and Design
GAME 344-01,3,MWF,9:00am - 9:50am,Keck Center 153 Circuit Design,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 540, 'endTime': 590}], 'Tu': [], 'W': [{'startTime': 540, 'endTime': 590}], 'Th': [], 'F': [{'startTime': 540, 'endTime': 590}], 'Sa': [], 'Su': []}}",Derek Prate,84,spring2026,['Spring'],Level Design II
GAME 440-01,3,TuTh,4:00pm - 5:15pm,Keck Center 156 Software Engin,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Jonathan Humphreys,70,spring2026,['Spring'],Collaborative Game Development
GAME 440-02,3,TuTh,5:30pm - 6:45pm,Keck Center 156 Software Engin,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1050, 'endTime': 1125}], 'W': [], 'Th': [{'startTime': 1050, 'endTime': 1125}], 'F': [], 'Sa': [], 'Su': []}}",Jonathan Humphreys,70,spring2026,['Spring'],Collaborative Game Development
GCI 150-01,1,M,9:00am - 9:50am,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 540, 'endTime': 590}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Ariel Han,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-02,1,M,11:00am - 11:50am,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 660, 'endTime': 710}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Ariel Han,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-03,1,M,12:00pm - 12:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 720, 'endTime': 770}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Amanda Frazier,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-04,1,M,1:00pm - 1:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 830}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Ernesto Vasquez,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
